CATEGORIES	JUPAS_CODE
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS4343
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS4850
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS4858
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS2020
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS2040
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS2180
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS2310
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS2320
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS2610
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS2630
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS2640
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS2650
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS6054
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS6066
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS6080
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS6822
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS7100
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS7101
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS7204
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS7503
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS3480
Communication%2C+Languages%2C+Journalism+and+Broadcasting	JS3569
Computing%2C+Information+and+Multimedia+Technology	JS1000
Computing%2C+Information+and+Multimedia+Technology	JS1004
Computing%2C+Information+and+Multimedia+Technology	JS1041
Computing%2C+Information+and+Multimedia+Technology	JS1042
Computing%2C+Information+and+Multimedia+Technology	JS1043
Computing%2C+Information+and+Multimedia+Technology	JS1044
Computing%2C+Information+and+Multimedia+Technology	JS1204
Computing%2C+Information+and+Multimedia+Technology	JS1206
Computing%2C+Information+and+Multimedia+Technology	JS4401
Computing%2C+Information+and+Multimedia+Technology	JS2120
Computing%2C+Information+and+Multimedia+Technology	JS2170
Computing%2C+Information+and+Multimedia+Technology	JS2320
Computing%2C+Information+and+Multimedia+Technology	JS2510
Computing%2C+Information+and+Multimedia+Technology	JS6793
Computing%2C+Information+and+Multimedia+Technology	JS6951
Computing%2C+Information+and+Multimedia+Technology	JS6963
Computing%2C+Information+and+Multimedia+Technology	JS5200
Computing%2C+Information+and+Multimedia+Technology	JS5314
Computing%2C+Information+and+Multimedia+Technology	JS5814
Computing%2C+Information+and+Multimedia+Technology	JS5901
Computing%2C+Information+and+Multimedia+Technology	JS3387
Computing%2C+Information+and+Multimedia+Technology	JS3519
Computing%2C+Information+and+Multimedia+Technology	JS3571
Computing%2C+Information+and+Multimedia+Technology	JS3703
Computing%2C+Information+and+Multimedia+Technology	JS3715
Computing%2C+Information+and+Multimedia+Technology	JS3868
Education	JS4329
Education	JS4331
Education	JS4343
Education	JS4355
Education	JS4361
Education	JS8105
Education	JS8117
Education	JS8234
Education	JS8246
Education	JS8325
Education	JS8361
Education	JS8371
Education	JS8381
Education	JS8391
Education	JS8404
Education	JS8416
Education	JS8428
Education	JS8430
Education	JS8801
Education	JS8813
Education	JS8825
Education	JS2020
Education	JS2030
Education	JS2040
Education	JS2110
Education	JS2120
Education	JS2130
Education	JS2170
Education	JS2180
Education	JS2510
Education	JS2610
Education	JS2620
Education	JS2630
Education	JS2640
Education	JS2650
Education	JS2680
Education	JS6066
Education	JS6080
Education	JS6119
Education	JS6157
Education	JS6195
Engineering	JS1051
Engineering	JS1201
Engineering	JS1205
Engineering	JS1206
Engineering	JS1207
Engineering	JS1208
Engineering	JS1209
Engineering	JS1210
Engineering	JS4401
Engineering	JS4428
Engineering	JS4434
Engineering	JS4460
Engineering	JS4462
Engineering	JS2510
Engineering	JS6951
Engineering	JS6963
Engineering	JS5200
Engineering	JS5812
Engineering	JS5901
Engineering	JS3313
Engineering	JS3351
Engineering	JS3375
Engineering	JS3507
Engineering	JS3519
Engineering	JS3557
Engineering	JS3571
Engineering	JS3600
Engineering	JS3703
Engineering	JS3715
Engineering	JS3739
Engineering	JS3741
Engineering	JS3753
Engineering	JS3791
Engineering	JS3985
Engineering	JS6925
Fashion+and+Design	JS2320
Fashion+and+Design	JS3492
Fashion+and+Design	JS3557
Fashion+and+Design	JS3569
Fashion+and+Design	JS3741
Law	JS1061
Law	JS4264
Law	JS4903
Law	JS2110
Law	JS2120
Law	JS2130
Law	JS2140
Law	JS2150
Law	JS2160
Law	JS6078
Law	JS6406
Law	JS6808
Law	JS6810
Medicine%2C+Dentistry+and+Health+Sciences	JS4355
Medicine%2C+Dentistry+and+Health+Sciences	JS4460
Medicine%2C+Dentistry+and+Health+Sciences	JS4501
Medicine%2C+Dentistry+and+Health+Sciences	JS4502
Medicine%2C+Dentistry+and+Health+Sciences	JS4513
Medicine%2C+Dentistry+and+Health+Sciences	JS4525
Medicine%2C+Dentistry+and+Health+Sciences	JS4537
Medicine%2C+Dentistry+and+Health+Sciences	JS4542
Medicine%2C+Dentistry+and+Health+Sciences	JS4550
Medicine%2C+Dentistry+and+Health+Sciences	JS2410
Medicine%2C+Dentistry+and+Health+Sciences	JS2420
Medicine%2C+Dentistry+and+Health+Sciences	JS6107
Medicine%2C+Dentistry+and+Health+Sciences	JS6157
Medicine%2C+Dentistry+and+Health+Sciences	JS6456
Medicine%2C+Dentistry+and+Health+Sciences	JS6468
Medicine%2C+Dentistry+and+Health+Sciences	JS6482
Medicine%2C+Dentistry+and+Health+Sciences	JS6494
Medicine%2C+Dentistry+and+Health+Sciences	JS6949
Medicine%2C+Dentistry+and+Health+Sciences	JS6951
Medicine%2C+Dentistry+and+Health+Sciences	JS6963
Medicine%2C+Dentistry+and+Health+Sciences	JS3337
Medicine%2C+Dentistry+and+Health+Sciences	JS3478
Medicine%2C+Dentistry+and+Health+Sciences	JS3600
Medicine%2C+Dentistry+and+Health+Sciences	JS3612
Medicine%2C+Dentistry+and+Health+Sciences	JS3624
Medicine%2C+Dentistry+and+Health+Sciences	JS3636
Medicine%2C+Dentistry+and+Health+Sciences	JS3648
Medicine%2C+Dentistry+and+Health+Sciences	JS3650
Medicine%2C+Dentistry+and+Health+Sciences	JS6925
Music	JS4082
Music	JS2030
Music	JS6054
Philosophy+and+Religious+Studies	JS4094
Philosophy+and+Religious+Studies	JS4109
Philosophy+and+Religious+Studies	JS4111
Philosophy+and+Religious+Studies	JS2020
Philosophy+and+Religious+Studies	JS6054
Philosophy+and+Religious+Studies	JS5411
Philosophy+and+Religious+Studies	JS7100
Philosophy+and+Religious+Studies	JS7802
Science	JS1202
Science	JS1203
Science	JS1206
Science	JS1208
Science	JS1210
Science	JS4276
Science	JS4329
Science	JS4355
Science	JS4361
Science	JS4462
Science	JS4542
Science	JS4601
Science	JS4633
Science	JS4682
Science	JS4690
Science	JS4719
Science	JS4838
Science	JS2410
Science	JS2420
Science	JS2510
Science	JS6119
Science	JS6729
Science	JS6901
Science	JS6949
Science	JS6951
Science	JS5100
Science	JS5101
Science	JS5200
Science	JS5811
Science	JS5812
Science	JS5813
Science	JS5901
Science	JS3002
Science	JS3349
Science	JS3375
Science	JS3478
Science	JS3600
Science	JS3923
Science	JS3985
Science	JS3997
Social+Sciences	JS1003
Social+Sciences	JS1101
Social+Sciences	JS1102
Social+Sciences	JS1108
Social+Sciences	JS4006
Social+Sciences	JS4355
Social+Sciences	JS4801
Social+Sciences	JS4812
Social+Sciences	JS4824
Social+Sciences	JS4836
Social+Sciences	JS4838
Social+Sciences	JS4848
Social+Sciences	JS4850
Social+Sciences	JS4858
Social+Sciences	JS4862
Social+Sciences	JS4874
Social+Sciences	JS4886
Social+Sciences	JS4892
Social+Sciences	JS4896
Social+Sciences	JS8624
Social+Sciences	JS8651
Social+Sciences	JS2020
Social+Sciences	JS2310
Social+Sciences	JS2610
Social+Sciences	JS2620
Social+Sciences	JS2630
Social+Sciences	JS2640
Social+Sciences	JS2650
Social+Sciences	JS2660
Social+Sciences	JS2680
Social+Sciences	JS6195
Social+Sciences	JS6717
Social+Sciences	JS6731
Social+Sciences	JS6810
Social+Sciences	JS6822
Social+Sciences	JS5411
Social+Sciences	JS5412
Social+Sciences	JS5812
Social+Sciences	JS7300
Social+Sciences	JS3545
Social+Sciences	JS3662
Social+Work	JS1101
Social+Work	JS4874
Social+Work	JS2660
Social+Work	JS6717
Social+Work	JS6731
Social+Work	JS3545
Social+Work	JS3662
